molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"acetone_conf0",10,0,0,0,0,0,1,1,58.080,3.858,240.520,183.736,56.783,0.000,0.000,327.099,0.000,2.000,0.0455101,0.0000000,0.9545535,6.936,1.660,2.913,2.654,-0.238,0.473,0.621,-2.267,2866.966,0.148,1544.435,-2.566,10.741,-0.785,0,-0.967,3,87.436,0.000,0.000,30.133,1,0,0,0,0,0,4,0,295.229
"acetone_conf1",10,0,0,0,0,0,1,1,58.080,3.810,240.365,184.023,56.342,0.000,0.000,326.551,0.000,2.000,0.0444430,0.0000000,0.9540996,6.915,1.644,2.889,2.651,-0.238,0.474,0.621,-2.275,2894.708,0.151,1560.595,-2.558,10.736,-0.779,0,-0.969,3,87.510,0.000,0.000,30.225,1,0,0,0,0,0,4,0,302.837
"acetone_conf2",10,0,0,0,0,0,1,1,58.080,3.809,240.365,184.024,56.342,0.000,0.000,326.550,0.000,2.000,0.0444379,0.0000000,0.9540979,6.915,1.644,2.888,2.651,-0.238,0.474,0.621,-2.275,2894.764,0.151,1560.627,-2.558,10.736,-0.780,0,-0.969,3,87.510,0.000,0.000,30.225,1,0,0,0,0,0,4,0,302.848
"acetone_conf3",10,0,0,0,0,0,1,1,58.080,3.859,240.520,183.737,56.784,0.000,0.000,327.099,0.000,2.000,0.0455183,0.0000000,0.9545516,6.937,1.660,2.914,2.654,-0.238,0.473,0.621,-2.267,2866.940,0.148,1544.420,-2.566,10.742,-0.785,0,-0.967,3,87.436,0.000,0.000,30.133,1,0,0,0,0,0,4,0,295.213
"acetone_conf4",10,0,0,0,0,0,1,1,58.080,3.809,240.365,184.023,56.341,0.000,0.000,326.550,0.000,2.000,0.0444372,0.0000000,0.9540997,6.915,1.644,2.888,2.651,-0.238,0.474,0.621,-2.275,2894.777,0.151,1560.635,-2.558,10.735,-0.780,0,-0.969,3,87.510,0.000,0.000,30.225,1,0,0,0,0,0,4,0,302.861
"acetone_conf5",10,0,0,0,0,0,1,1,58.080,3.858,240.518,183.734,56.784,0.000,0.000,327.097,0.000,2.000,0.0455150,0.0000000,0.9545546,6.936,1.660,2.914,2.654,-0.238,0.473,0.621,-2.267,2866.929,0.148,1544.414,-2.566,10.742,-0.785,0,-0.967,3,87.436,0.000,0.000,30.133,1,0,0,0,0,0,4,0,295.237
"acetone_conf6",10,0,0,0,0,0,1,1,58.080,3.858,240.520,183.736,56.784,0.000,0.000,327.099,0.000,2.000,0.0455090,0.0000000,0.9545541,6.936,1.660,2.913,2.654,-0.238,0.473,0.621,-2.267,2866.945,0.148,1544.423,-2.566,10.741,-0.785,0,-0.967,3,87.436,0.000,0.000,30.133,1,0,0,0,0,0,4,0,295.225
"acetone_conf7",10,0,0,0,0,0,1,1,58.080,3.809,240.363,184.022,56.341,0.000,0.000,326.548,0.000,2.000,0.0444361,0.0000000,0.9541021,6.914,1.644,2.888,2.651,-0.238,0.474,0.621,-2.275,2894.787,0.151,1560.641,-2.558,10.735,-0.780,0,-0.969,3,87.510,0.000,0.000,30.225,1,0,0,0,0,0,4,0,302.883
"acetone_conf8",10,0,0,0,0,0,1,1,58.080,3.810,240.364,184.022,56.342,0.000,0.000,326.549,0.000,2.000,0.0444511,0.0000000,0.9541019,6.915,1.644,2.889,2.651,-0.238,0.474,0.621,-2.275,2894.738,0.151,1560.612,-2.558,10.736,-0.779,0,-0.969,3,87.510,0.000,0.000,30.225,1,0,0,0,0,0,4,0,302.861
"acetone_conf9",10,0,0,0,0,0,1,1,58.080,3.859,240.521,183.738,56.783,0.000,0.000,327.101,0.000,2.000,0.0455174,0.0000000,0.9545524,6.937,1.660,2.914,2.654,-0.238,0.473,0.621,-2.267,2866.993,0.148,1544.451,-2.566,10.742,-0.785,0,-0.967,3,87.436,0.000,0.000,30.133,1,0,0,0,0,0,4,0,295.216
